,productname_1,PRICE_1,PRICE_2,Discount_1,productname_2,price_1,price_2,discount_2
1,HP Pavilion x360 Convertible Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dy0053TU Thin an...,70990,81356,10366,HP Pavilion Laptop 14-dv1000TU,62999,64999,2000
2,HP 14s Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 14s- DQ2535TU Thin and Light Laptop,57990,63179,5189,HP Pavilion Laptop 15-eg1000TU,66999,77327,10328
3,HP Pavilion Core i5 11th Gen - (8 GB/512 GB SSD/Windows 11 Home) 14-dv1000TU Thin and Light Laptop,62990,71000,8010,HP Pavilion Laptop 14-dv1001TU,67999,79444,11445
4,HP Core i5 11th Gen - (8 GB + 32 GB Optane/512 GB SSD/Windows 10 Home) 15s-FQ2071TU Thin and Light Lap...,56690,59452,2762,HP Pavilion Gaming Laptop 15-dk2095TX,73990,87716,13726
5,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0054TU Thin and Light Laptop,66990,77141,10151,HP ENVY Laptop 13-ba1501TX,84999,99202,14203
6,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv1002TU Thin and Light Laptop,67999,79445,11446,HP ENVY Laptop 14-eb0019TX,104999,114975,9976
7,HP HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home) 14-dv0055TU Thin and Light Laptop,66990,72536,5546,HP Pavilion Gaming Laptop 15-dk2012TX,77990,93564,15574
8,HP HP Envy Core i5 11th Gen - (16 GB/512 GB SSD/Windows 10 Home/4 GB Graphics) 14-eb0019TX Thin and Li...,99990,113000,13010,HP ENVY Laptop 14-eb0020TX,109999,130290,20291
9,HP Pavilion Core i5 11th Gen - (16 GB/512 GB SSD/Windows 11 Home) 14-dv1001TU Thin and Light Laptop,67990,79444,11454,HP Spectre x360 Convertible 14-ea0538TU,119999,138165,18166
10,HP Spectre x360 13 Series Core i5 11th Gen - (8 GB/512 GB SSD/Windows 10 Home) 13-aw2003TU Thin and Li...,101990,114749,12759,HP Spectre x360 Convertible 14-ea0542TU,134999,155436,20437
